Auction Values for Cirrus10
Overall,BYE,,,,QB,BYE,,,,RB,BYE,,,,WR,BYE,,,,TE,BYE,,,,DST,BYE,,,,K,BYE,,,,
David Johnson (RB - ARI),8,$80, ,,Aaron Rodgers - GB,8,$32, ,,David Johnson - ARI,8,$80, ,,Antonio Brown - PIT,9,$60, ,,Rob Gronkowski - NE,9,$29, ,,Denver Broncos,5,$2, ,,Stephen Gostkowski - NE,9,$1, ,,
Le'Veon Bell (RB - PIT),9,$71, ,,Tom Brady - NE,9,$23, ,,Le'Veon Bell - PIT,9,$71, ,,Julio Jones - ATL,5,$57, ,,Greg Olsen - CAR,11,$22, ,,Arizona Cardinals,8,$2, ,,Matt Bryant - ATL,5,$1, ,,
Antonio Brown (WR - PIT),9,$60, ,,Drew Brees - NO,5,$16, ,,LeSean McCoy - BUF,6,$46, ,,Odell Beckham Jr. - NYG,8,$50, ,,Travis Kelce - KC,10,$22, ,,Seattle Seahawks,6,$1, ,,Justin Tucker - BAL,10,$1, ,,
Julio Jones (WR - ATL),5,$57, ,,Matt Ryan - ATL,5,$15, ,,Devonta Freeman - ATL,5,$44, ,,Jordy Nelson - GB,8,$42, ,,Jordan Reed - WAS,5,$17, ,,Minnesota Vikings,9,$1, ,,Mason Crosby - GB,8,$1, ,,
Odell Beckham Jr. (WR - NYG),8,$50, ,,Russell Wilson - SEA,6,$11, ,,Melvin Gordon - LAC,9,$38, ,,Mike Evans - TB,11,$42, ,,Jimmy Graham - SEA,6,$13, ,,Kansas City Chiefs,10,$1, ,,Graham Gano - CAR,11,$1, ,,
LeSean McCoy (RB - BUF),6,$46, ,,Cam Newton - CAR,11,$7, ,,Jordan Howard - CHI,9,$37, ,,A.J. Green - CIN,6,$35, ,,Kyle Rudolph - MIN,9,$12, ,,Houston Texans,7,$1, ,,Will Lutz - NO,5,$1, ,,
Devonta Freeman (RB - ATL),5,$44, ,,Andrew Luck - IND,11,$4, ,,Jay Ajayi - MIA,11,$35, ,,Michael Thomas - NO,5,$33, ,,Zach Ertz - PHI,10,$9, ,,New England Patriots,9,$1, ,,Dan Bailey - DAL,6,$1, ,,
Jordy Nelson (WR - GB),8,$42, ,,Jameis Winston - TB,11,$4, ,,DeMarco Murray - TEN,8,$34, ,,T.Y. Hilton - IND,11,$28, ,,Tyler Eifert - CIN,6,$7, ,,Carolina Panthers,11,$1, ,,Sebastian Janikowski - OAK,10,$1, ,,
Mike Evans (WR - TB),11,$42, ,,Marcus Mariota - TEN,8,$3, ,,Todd Gurley - LAR,8,$29, ,,Doug Baldwin - SEA,6,$28, ,,Delanie Walker - TEN,8,$6, ,,Philadelphia Eagles,10,$0, ,,Adam Vinatieri - IND,11,$0, ,,
Melvin Gordon (RB - LAC),9,$38, ,,Dak Prescott - DAL,6,$2, ,,Lamar Miller - HOU,7,$25, ,,Amari Cooper - OAK,10,$23, ,,Martellus Bennett - GB,8,$6, ,,Tampa Bay Buccaneers,11,$0, ,,Dustin Hopkins - WAS,5,$0, ,,
Jordan Howard (RB - CHI),9,$37, ,,Kirk Cousins - WAS,5,$2, ,,Leonard Fournette - JAC,8,$22, ,,Dez Bryant - DAL,6,$19, ,,Eric Ebron - DET,7,$5, ,,New York Giants,8,$0, ,,Cairo Santos - KC,10,$0, ,,
Jay Ajayi (RB - MIA),11,$35, ,,Matthew Stafford - DET,7,$1, ,,Ezekiel Elliott - DAL,6,$21, ,,DeAndre Hopkins - HOU,7,$15, ,,Hunter Henry - LAC,9,$2, ,,Jacksonville Jaguars,8,$0, ,,Blair Walsh - SEA,6,$0, ,,
A.J. Green (WR - CIN),6,$35, ,,Ben Roethlisberger - PIT,9,$0, ,,Isaiah Crowell - CLE,9,$17, ,,Michael Crabtree - OAK,10,$14, ,,Jack Doyle - IND,11,$1, ,,Baltimore Ravens,10,$0, ,,Caleb Sturgis - PHI,10,$0, ,,
DeMarco Murray (RB - TEN),8,$34, ,,Tyrod Taylor - BUF,6,$0, ,,Dalvin Cook - MIN,9,$16, ,,Allen Robinson - JAC,8,$14, ,,Jason Witten - DAL,6,$0, ,,Pittsburgh Steelers,9,$0, ,,Matt Prater - DET,7,$0, ,,
Michael Thomas (WR - NO),5,$33, ,,Derek Carr - OAK,10,$0, ,,Marshawn Lynch - OAK,10,$16, ,,Demaryius Thomas - DEN,5,$13, ,,Coby Fleener - NO,5,$0, ,,Los Angeles Chargers,9,$0, ,,Chris Boswell - PIT,9,$0, ,,
Aaron Rodgers (QB - GB),8,$32, ,,Andy Dalton - CIN,6,$0, ,,Christian McCaffrey - CAR,11,$16, ,,Brandin Cooks - NE,9,$12, ,,Cameron Brate - TB,11,$0, ,,Tennessee Titans,8,$0, ,,Phil Dawson - ARI,8,$0, ,,
Todd Gurley (RB - LAR),8,$29, ,,Philip Rivers - LAC,9,$0, ,,Ty Montgomery - GB,8,$15, ,,Larry Fitzgerald - ARI,8,$11, ,,Charles Clay - BUF,6,$0, ,,Green Bay Packers,8,$0, ,,Josh Lambo - LAC,9,$0, ,,
Rob Gronkowski (TE - NE),9,$29, ,,Eli Manning - NYG,8,$0, ,,Mark Ingram - NO,5,$15, ,,Golden Tate - DET,7,$11, ,,Austin Hooper - ATL,5,$0, ,,Los Angeles Rams,8,$0, ,,Brandon McManus - DEN,5,$0, ,,
T.Y. Hilton (WR - IND),11,$28, ,,Carson Wentz - PHI,10,$0, ,,Bilal Powell - NYJ,11,$14, ,,Alshon Jeffery - PHI,10,$9, ,,C.J. Fiedorowicz - HOU,7,$0, ,,Miami Dolphins,11,$0, ,,Steven Hauschka - BUF,6,$0, ,,
Doug Baldwin (WR - SEA),6,$28, ,,Carson Palmer - ARI,8,$0, ,,Spencer Ware - KC,10,$14, ,,Jarvis Landry - MIA,11,$8, ,,Jared Cook - OAK,10,$0, ,,Oakland Raiders,10,$0, ,,Randy Bullock - CIN,6,$0, ,,
Lamar Miller (RB - HOU),7,$25, ,,Joe Flacco - BAL,10,$0, ,,Joe Mixon - CIN,6,$11, ,,Emmanuel Sanders - DEN,5,$7, ,,Julius Thomas - MIA,11,$0, ,,Dallas Cowboys,6,$0, ,,Kai Forbath - MIN,9,$0, ,,
Tom Brady (QB - NE),9,$23, ,,Alex Smith - KC,10,$0, ,,Tevin Coleman - ATL,5,$9, ,,Stefon Diggs - MIN,9,$7, ,,Antonio Gates - LAC,9,$0, ,,Cincinnati Bengals,6,$0, ,,Nick Novak - HOU,7,$0, ,,
